SOV_ADJ;Russian;Russian;Russian;;;;;;;;;;;x;
SOV;USSR;USSR;USSR;;;;;;;;;;;x;
SOV_proletarian_dictatorship;USSR;USSR;USSR;;;;;;;;;;;x;
SOV_presidential_dictatorship;Republic of Euroasia;Republic of Euroasia;Republic of Euroasia;;;;;;;;;;;x;
SOV_bourgeois_dictatorship;Republic of Euroasia;Republic of Euroasia;Republic of Euroasia;;;;;;;;;;;x;
SOV_fascist_dictatorship;Greater Euroasia;Greater Euroasia;Greater Euroasia;;;;;;;;;;;x;
SOV_absolute_monarchy;Euroasian Empire;Euroasian Empire;Euroasian Empire;;;;;;;;;;;x;
SOV_prussian_constitutionalism;Euroasian Empire;Euroasian Empire;Euroasian Empire;;;;;;;;;;;x;
SOV_hms_government;Euroasian Empire;Euroasian Empire;Euroasian Empire;;;;;;;;;;;x;
SOV_democracy;Euroasian Federation;Euroasian Federation;Euroasian Federation;;;;;;;;;;;x;
SOV_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
SOV_liberal_87;Democratic Union;Democratic Union;Democratic Union;;;;;;;;;;;x;
SOV_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
SOV_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
SOV_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
SOV_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
SOV_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
SOV_communist_80;CPSU;CPSU;CPSU;;;;;;;;;;;x;
SOV_fascist_69;LDPSU;LDPSU;LDPSU;;;;;;;;;;;x;
