XZ_annex_galiza_title;Greater Portugal;;;;;;x
XZ_annex_galiza_desc;Comrades, brothers, friends. Today, today our struggle ends. We have won, Galicia is no more. They were foolish in believing they could ever beat us. Though our victory was absolute, we must not gloat and must instead embrace the people and land that were once one with us. Let us enjoy ourselves in victory and continue to dread defeat, one word our ;;;;;;x
form_uk_title;test;;;;;;
form_uk_desc;test;;;;;;
form_france_title;test;;;;;;
form_france_desc;test;;;;;;
form_poland_title;test;;;;;;
form_poland_desc;test;;;;;;
form_ukraine_title;test;;;;;;
form_ukraine_desc;test;;;;;;
form_spain_title;test;;;;;;
form_spain_desc;test;;;;;;
greater_portugal_title;test;;;;;;
greater_portugal_desc;test;;;;;;
