LEB_ADJ;Lebanese;Lebanese;Lebanese;;;;;;;;;;;x;
LEB;Lebanon;Lebanon;Lebanon;;;;;;;;;;;x;
LEB_proletarian_dictatorship;Socialist Republic of Lebanon;Socialist Republic of Lebanon;Socialist Republic of Lebanon;;;;;;;;;;;x;
LEB_presidential_dictatorship;Republic of Lebanon;Republic of Lebanon;Republic of Lebanon;;;;;;;;;;;x;
LEB_bourgeois_dictatorship;Republic of Lebanon;Republic of Lebanon;Republic of Lebanon;;;;;;;;;;;x;
LEB_fascist_dictatorship;Arab Lebanonese Republic;Arab Lebanonese Republic;Arab Lebanonese Republic;;;;;;;;;;;x;
LEB_absolute_monarchy;Lebanon;Lebanon;Lebanon;;;;;;;;;;;x;
LEB_prussian_constitutionalism;Lebanon;Lebanon;Lebanon;;;;;;;;;;;x;
LEB_hms_government;Lebanon;Lebanon;Lebanon;;;;;;;;;;;x;
LEB_democracy;Lebanon;Lebanon;Lebanon;;;;;;;;;;;x;
LEB_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
LEB_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
LEB_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
LEB_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
LEB_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
LEB_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
LEB_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
LEB_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
LEB_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
